ScientistName,preparation,date,components
Непогодина Людмила Петровна,Витамин С,0900-02-24,Chemical_80 Chemical_34 Chemical_87
Нецкина Елизавета Василевна,Вальтрекс,0901-02-23,Chemical_27 Chemical_12 Chemical_63
Неветруева Елена Эдуардовна,Гидрохлоротиазид,0902-11-21,Chemical_15 Chemical_82 Chemical_21
Махначев Павел Максимович,Урсофальк,0903-09-18,Chemical_33 Chemical_5 Chemical_47
Михеюшкин Яков Игоревич,Тикалиптин,0905-03-24,Chemical_72 Chemical_18 Chemical_7
Бригина Надежда Федоровна,Ретардин,0908-05-02,Chemical_92 Chemical_37 Chemical_19
Муренкаева Елизавета Аркадьевна,Омега-3 кислоты,0912-07-22,Chemical_81 Chemical_59 Chemical_73
Вакунов Александр Викторович,Метопролол,0914-04-03,Chemical_58 Chemical_2 Chemical_87
Оруджалиев Герасим Данилович,Рамиприл,0916-05-19,Chemical_33 Chemical_36 Chemical_98
Рабовский Дмитрий Яковлевич,Витамин С,0924-02-08,Chemical_35 Chemical_80 Chemical_55
Екимовский Владислав Фёдорович,Венолайфт,0926-06-22,Chemical_59 Chemical_56 Chemical_77
Аляудинова Яна Аркадьевна,Дуодарт,0926-11-12,Chemical_81 Chemical_28 Chemical_46
Веснянкина Марина Эдуардовна,Вальтрекс,0928-09-27,Chemical_38 Chemical_79 Chemical_54
Шкваркин Федор Юрьевич,Тианептин,0929-07-27,Chemical_67 Chemical_56 Chemical_43
Агафеева Тамара Олеговна,Клопидогрел,0932-08-16,Chemical_17 Chemical_72 Chemical_22
Атарщиков Артём Викторович,Валидол,0935-09-01,Chemical_48 Chemical_25 Chemical_54
Абримов Павел Олегович,Амоксициллин,0938-12-20,Chemical_88 Chemical_13 Chemical_39
Танкуйлин Аркадий Кириллович,Железа препараты,0939-06-15,Chemical_58 Chemical_95 Chemical_70
Столбова София Василевна,Атенолол,0940-07-17,Chemical_47 Chemical_34 Chemical_45
Хусаинов Антон Алексеевич,Росувастатин,0949-06-08,Chemical_89 Chemical_77 Chemical_35
Рубейкин Вячеслав Петрович,Метформин,0949-11-22,Chemical_15 Chemical_58 Chemical_1
Наруцкая Катерина Андреевна,Венолайфт,0951-01-04,Chemical_84 Chemical_47 Chemical_3
Бызин Александр Олегович,Тикалиптин,0953-10-01,Chemical_93 Chemical_26 Chemical_28
Самарков Вадим Андреевич,Железа препараты,0956-08-14,Chemical_42 Chemical_30 Chemical_66
Пудонин Виталий Данилович,Енап,0958-06-13,Chemical_4 Chemical_4 Chemical_92
Крыницкий Владимир Борисович,Омепразол,0959-10-21,Chemical_4 Chemical_20 Chemical_41
Ахмадуллин Александр Евгеньевич,Амитриптилин,0960-12-26,Chemical_90 Chemical_77 Chemical_84
Пудинова Мария Андреевна,Сетирозин,0961-06-17,Chemical_26 Chemical_95 Chemical_60
Пепинова Ева Ивановна,Ацетилсалициловая кислота,0963-02-26,Chemical_5 Chemical_62 Chemical_58
Пониматкин Артём Яковлевич,Бромгексин,0963-10-18,Chemical_11 Chemical_1 Chemical_69
Горбецкий Альберт Павлович,Ёжик,0968-10-24,Chemical_79 Chemical_33 Chemical_90
Манетов Павел Павлович,Бисакодил,0969-07-05,Chemical_11 Chemical_13 Chemical_51
Шабунов Юрий Алексиевич,Парацетамол,0970-10-22,Chemical_41 Chemical_31 Chemical_39
Постатская Полина Алексеевна,Бензоилпероксид,0972-06-28,Chemical_12 Chemical_76 Chemical_81
Беларова Вероника Михайловна,Бензоилпероксид,0979-04-08,Chemical_86 Chemical_62 Chemical_41
Федурин Владимир Алексеевич,Амитриптилин,0982-10-20,Chemical_5 Chemical_75 Chemical_78
Голубкова Ирина Игоревна,Аллопуринол,0983-02-03,Chemical_17 Chemical_4 Chemical_91
Хвощинская Катерина Федоровна,Золаир,0984-06-19,Chemical_8 Chemical_80 Chemical_30
Даданина Ксения Максимовна,Енап,0984-11-05,Chemical_4 Chemical_7 Chemical_89
Кочеляева Александра Игоревна,Лоразепам,0989-06-20,Chemical_89 Chemical_40 Chemical_79
Магусумова Ирина Олеговна,Дикарбазин,0991-07-16,Chemical_51 Chemical_15 Chemical_2
Актанаев Игорь Валериевич,Бисопролол,0992-01-04,Chemical_2 Chemical_11 Chemical_72
Самрова Елизавета Евгеньевна,Сертралин,0992-02-25,Chemical_78 Chemical_50 Chemical_12
Череватова Вероника Вадимовна,Кандесартан,0998-12-19,Chemical_39 Chemical_85 Chemical_90
Плетцова Виолетта Богдановна,Дикарбазин,0999-04-28,Chemical_52 Chemical_83 Chemical_21
Вазильева Марина Яковлевна,Валацикловир,1000-10-15,Chemical_31 Chemical_53 Chemical_1
Кушаев Геннадий Игоревич,Диклофенак,1001-05-07,Chemical_16 Chemical_48 Chemical_94
Савыкин Геннадий Георгиевич,Тианептин,1002-05-22,Chemical_46 Chemical_14 Chemical_72
Шарафанова Виктория Егоровна,Протоник,1004-04-20,Chemical_9 Chemical_97 Chemical_88
Шерекина Екатерина Николаевна,Симвастатин,1005-05-02,Chemical_44 Chemical_1 Chemical_79
Поканкина Марина Михайловна,Глюкозамин,1008-12-26,Chemical_2 Chemical_85 Chemical_55
Ачин Герасим Данилович,Гидрохлоротиазид,1014-01-22,Chemical_18 Chemical_70 Chemical_37
Хотькова Виктория Игоревна,Сертралин,1015-01-18,Chemical_77 Chemical_22 Chemical_2
Лакушова Тамара Ивановна,Бетаин,1016-09-01,Chemical_91 Chemical_90 Chemical_42
Зиганова Зинаида Кирилловна,Ранитидин,1018-11-14,Chemical_79 Chemical_78 Chemical_77
Беклев Семён Яковлевич,Золедроновая кислота,1022-11-17,Chemical_54 Chemical_97 Chemical_80
Кашелев Борис Данилович,Метформин,1023-04-07,Chemical_97 Chemical_58 Chemical_29
Илалов Тарас Яковлевич,Допамин,1025-05-04,Chemical_51 Chemical_21 Chemical_67
Дугарский Александр Алексеевич,Спазмалгон,1026-06-26,Chemical_62 Chemical_71 Chemical_5
Осицимский Алексей Юриевич,Норматен,1026-12-09,Chemical_81 Chemical_80 Chemical_35
Мицина Светлана Кирилловна,Норматен,1032-04-04,Chemical_44 Chemical_16 Chemical_60
Хажкасимов Борис Алексиевич,Живина,1032-08-14,Chemical_54 Chemical_85 Chemical_12
Проселкова Зинаида Максимовна,Рибавирин,1032-10-19,Chemical_46 Chemical_99 Chemical_73
Близнюкова Ирина Эдуардовна,Метформин,1034-08-26,Chemical_51 Chemical_60 Chemical_94
Подласова Вера Андреевна,Рибавирин,1034-12-01,Chemical_80 Chemical_33 Chemical_46
Аранышев Иван Юрьевич,Тианептин,1035-08-27,Chemical_56 Chemical_60 Chemical_53
Скарлыкин Павел Яковлевич,Золедроновая кислота,1037-07-04,Chemical_5 Chemical_93 Chemical_49
Туржанский Семён Антонович,Уоллтапс,1042-06-13,Chemical_18 Chemical_78 Chemical_92
Личутина Екатерина Богдановна,Женьшень,1042-06-18,Chemical_39 Chemical_62 Chemical_89
Максимцев Станислав Николаевич,Зинорам,1045-01-13,Chemical_78 Chemical_13 Chemical_54
Размыкова Алина Кирилловна,Тианептин,1045-06-04,Chemical_86 Chemical_37 Chemical_69
Мухоткин Валентин Кириллович,Пилипен,1051-12-04,Chemical_41 Chemical_17 Chemical_15
Колтакова Алиса Максимовна,Иммунивит,1056-07-16,Chemical_52 Chemical_1 Chemical_80
Типтева София Богдановна,Омепразол,1056-08-24,Chemical_28 Chemical_97 Chemical_54
Бульдыгина Кира Михайловна,Рибавирин,1057-06-18,Chemical_57 Chemical_21 Chemical_81
Тащенков Дмитрий Денисович,Триптаны,1059-08-28,Chemical_84 Chemical_14 Chemical_9
Потрягина Кристина Романовна,Пропанолол,1060-03-02,Chemical_58 Chemical_14 Chemical_83
Ананчева Вероника Ивановна,Гидрохлоротиазид,1060-03-03,Chemical_98 Chemical_57 Chemical_56
Гомбожапов Андрей Юриевич,Пентоксифиллин,1060-03-13,Chemical_82 Chemical_78 Chemical_67
Федулин Альберт Иванович,Амоксиклав,1063-06-15,Chemical_78 Chemical_30 Chemical_55
Цыцарцев Валерий Василиевич,Нитросорбид,1063-08-08,Chemical_21 Chemical_60 Chemical_8
Халипский Евгений Алексеевич,Пилипен,1068-05-23,Chemical_62 Chemical_13 Chemical_92
Беломожнов Михаил Романович,Левотироксин,1072-09-24,Chemical_46 Chemical_12 Chemical_12
Чубанова Алёна Романовна,Мелоксикам,1072-11-13,Chemical_76 Chemical_38 Chemical_23
Гнетнев Григорий Денисович,Евалар солгар мультивитамини,1074-07-16,Chemical_12 Chemical_69 Chemical_99
Шаульская Надежда Максимовна,Дектанол,1077-04-05,Chemical_27 Chemical_31 Chemical_39
Бострикова Софья Романовна,Оланзапин,1080-12-09,Chemical_94 Chemical_40 Chemical_35
Шкутин Юрий Алексиевич,Рибавирин,1088-02-23,Chemical_49 Chemical_67 Chemical_24
Писеева Катерина Богдановна,Амоксиклав,1090-11-18,Chemical_18 Chemical_16 Chemical_47
Справников Игорь Адамович,Дуодарт,1091-06-24,Chemical_11 Chemical_85 Chemical_63
Чарышкин Игорь Денисович,Рамиприл,1092-10-21,Chemical_41 Chemical_65 Chemical_60
Потешных Дмитрий Иванович,Колчицин,1097-08-05,Chemical_97 Chemical_4 Chemical_22
Чубокова Виолетта Валерьевна,Бактрим,1103-03-12,Chemical_6 Chemical_72 Chemical_15
Курцапов Виктор Иванович,Витамин С,1104-12-05,Chemical_11 Chemical_22 Chemical_63
Ярычевский Максим Евгеньевич,Глюкозамин,1106-01-17,Chemical_34 Chemical_86 Chemical_88
Могеев Станислав Алексиевич,Агонал,1106-11-23,Chemical_34 Chemical_87 Chemical_23
Новеньких Валерий Борисович,Азитромицин,1107-06-25,Chemical_98 Chemical_81 Chemical_70
Юртайкина Зинаида Ивановна,Уоллтапс,1107-09-26,Chemical_14 Chemical_47 Chemical_64
Шалапугина Юлия Дмитриевна,Дуодарт,1109-04-27,Chemical_3 Chemical_17 Chemical_20
Камашкин Артём Вадимович,Итрафунгол,1114-02-27,Chemical_98 Chemical_32 Chemical_16
Шишанкова Алла Алексеевна,Бензоилпероксид,1115-02-04,Chemical_77 Chemical_66 Chemical_79
Шадыкина Кристина Яковлевна,Габапентин,1115-03-22,Chemical_18 Chemical_15 Chemical_92
Вендеров Никита Тимофеевич,Витамин С,1119-02-24,Chemical_43 Chemical_97 Chemical_3
